Frame,NGT,Density,Std,Avg,Err1px,Err2px,Err3px,Err4px,Err5px,Perc50,Perc90,Perc95,Perc99
146,90211,1.0,2.522519244188156,0.9651886445389143,27.887951580184236,6.238707031293301,2.99520014188957,2.3012714635687446,1.9398964649543846,0.6171875,1.64453125,2.203125,9.0234375
110,107212,1.0,4.739514443078121,0.9360305836799985,17.26485841137186,3.3699585867253665,1.5707196955564675,1.2004253255232624,1.0745065850837592,0.453125,1.24609375,1.67578125,5.865039062499989
74,77896,1.0,5.003188366115516,1.1995445549996149,25.874242579850055,8.18527267125398,2.934682140289617,1.8794289822327206,1.6111225223374757,0.56640625,1.79296875,2.47265625,10.285546875000023
80,72788,1.0,2.036118116460891,0.8678068070973237,22.046216409298236,6.764851349123482,3.2450403912732866,2.345166785733912,1.9536187283618178,0.515625,1.578125,2.30859375,8.418476562500018
17,73535,1.0,2.4350272563937874,1.007208886499626,27.422315903991297,8.759094308832529,4.789555993744475,3.316787924117767,2.358060787380159,0.58984375,1.84765625,2.88671875,8.113203125000041
85,114401,1.0,18.580425222762,6.761698228708665,34.40004895062106,20.043531088014966,16.793559496857544,15.665946975987971,15.120497198451062,0.6640625,23.546875,55.2734375,81.33203125
143,92278,1.0,7.705688307032604,2.1097200849606623,33.5789679013416,13.245844079845684,8.143869611391665,6.334120808860184,5.4823468215609354,0.66796875,2.51953125,5.81640625,36.49878906249995
97,49532,1.0,3.889888091485895,1.1636711021410402,30.15424372123072,9.672534926915933,4.631349430671081,2.737624162157797,2.0552370184930955,0.65625,1.95703125,2.87890625,9.726171875000091
Average,677853,1.0,8.707367347342453,2.1301961337395423,27.337933150697864,9.873232101945407,6.133630742948692,5.029999129604796,4.527235256021585,0.58203125,1.98046875,4.044531250000091,56.132656249999854
